Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
How many new customers were acquired in May 2023?,SELECT COUNT(DISTINCT customers.CustomerID) AS new_customers FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID WHERE orders.OrderDate BETWEEN '2023-05-01' AND '2023-05-31',SELECT COUNT(DISTINCT orders.CustomerID) AS new_customers FROM orders WHERE orders.OrderDate BETWEEN '2023-05-01' AND '2023-05-31',"The generated SQL query only counts the number of distinct customers who placed orders in May 2023, not necessarily new customers. The ground truth SQL query specifically determines new customers by joining the customers and orders tables.","```sql
SELECT COUNT(DISTINCT CustomerID) AS new_customers 
FROM orders 
WHERE OrderDate BETWEEN '2023-05-01' AND '2023-05-31';
```","The generated SQL query counts distinct CustomerIDs from the orders table within the specified date range, but it doesn't ensure those are 'new' customers. The ground truth query ensures it by joining with the customers table and checking the orders within the date range to count only newly acquired customers.",Both,None
What is the average fulfillment time for orders by month?,"SELECT EXTRACT(MONTH FROM OrderDate) AS Month, AVG(DATEDIFF(DAY, OrderDate, ShippedDate)) AS AvgFulfillmentTime FROM orders GROUP BY EXTRACT(MONTH FROM OrderDate)","```sql
SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY Month;
```","The generated SQL query groups by the full year and month (YYYY-MM format) while the ground truth query groups by the month of the year. Additionally, the ground truth query uses EXTRACT to get the month, which could imply an aggregation by month across multiple years, losing the Year context. The format of DATEDIFF function usage is also slightly different between the two queries but that depends on the SQL dialect.","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    AVG(DATEDIFF(ShippedDate, OrderDate)) AS Average_Fulfillment_Time
FROM 
    orders
GROUP BY 
    Month
ORDER BY 
    Month;
```","The generated SQL query groups by the year and month together, which means it will generate a separate row for each month of each year. The ground truth SQL query groups just by month, combining the same months across different years into a single row. Furthermore, the `DATEDIFF` function syntax used in the ground truth SQL query uses 'DAY' as the interval, while the generated SQL query assumes it calculates days by default.",Both,None
What is the average discount applied per product?,SELECT AVG(Discount) AS AverageDiscount FROM [Order Details];,"SELECT ProductID, AVG(Discount) AS AverageDiscount FROM [Order Details] GROUP BY ProductID;","The generated SQL query calculates the average discount grouped by each product, whereas the ground truth SQL query calculates the overall average discount across all products. The user's question asks for the average discount per product, so the ground truth query is the correct one.","```sql
SELECT AVG(Discount) AS AverageDiscount
FROM [Order Details];
```","The generated SQL query correctly calculates the average discount applied per product. It matches the ground truth query in both syntax and logic, and it references the correct table and column.",Base,FT
Which suppliers have supplied the most products?,"SELECT s.SupplierID, COUNT(p.ProductID) AS TotalProductsSupplied FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID ORDER BY TotalProductsSupplied DESC;","```sql
SELECT suppliers.SupplierID, COUNT(products.ProductID) AS ProductCount FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID GROUP BY suppliers.SupplierID ORDER BY ProductCount DESC;
```","The generated SQL query correctly identifies the suppliers who have supplied the most products by joining the 'suppliers' and 'products' tables on the 'SupplierID' column, grouping by 'SupplierID', counting the number of products, and ordering by the count in descending order. The column labels differ but the result set will fulfill the user question requirements.","```sql
SELECT SupplierID, COUNT(ProductID) AS TotalProducts
FROM products
GROUP BY SupplierID
ORDER BY TotalProducts DESC;
```","The generated query does not explicitly involve the `suppliers` table, which means it may miss out on suppliers who have not supplied any products or produce an incorrect supplier list due to missing proper joins.",FT,Base
Which regions have the highest on-time delivery rates?,"SELECT ShipRegion, (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(OrderID)) AS OnTimeDeliveryRate FROM orders GROUP BY ShipRegion ORDER BY OnTimeDeliveryRate DESC;","SELECT ShipRegion, COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(*) AS OnTimeDeliveryRate FROM orders GROUP BY ShipRegion;","The generated SQL query calculates the on-time delivery rate correctly but it does not order the results by the OnTimeDeliveryRate in descending order as the ground truth query does. To fully address the user question about the 'highest' on-time delivery rates, the results need to be sorted.","```sql
SELECT ShipRegion, 
       COUNT(OrderID) FILTER (WHERE ShippedDate <= RequiredDate) * 100.0 / COUNT(OrderID) AS OnTimeDeliveryRate
FROM orders
GROUP BY ShipRegion
ORDER BY OnTimeDeliveryRate DESC;
```","Both SQL queries calculate the on-time delivery rates by region and order the results by those rates in descending order. The logic and final output of both queries are equivalent, even though the syntax is slightly different.",Base,FT
How many orders were handled by employees who were hired in the year 2020?,SELECT COUNT(orders.OrderID) AS TotalOrders FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID WHERE YEAR(HireDate) = 2020;,"SELECT e.EmployeeID, COUNT(o.OrderID) AS OrdersCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE YEAR(e.HireDate) = 2020 GROUP BY e.EmployeeID;","The generated SQL query provides the order count grouped by each employee, while the ground truth query sums the total number of orders handled by all employees hired in 2020. The user's question asks for the total count of orders handled, not the count per employee.","```sql
SELECT COUNT(*) AS OrderCount
FROM orders
WHERE EmployeeID IN (
    SELECT EmployeeID 
    FROM employees 
    WHERE YEAR(HireDate) = 2020
);
```","Both the generated SQL query and the ground truth SQL query correctly count the number of orders handled by employees who were hired in the year 2020. Although they use different approaches (subquery vs. join), they deliver the same result.",Base,FT
What is the average lead time for each supplier?,"SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AverageLeadTime FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY products.SupplierID;","SELECT suppliers.CompanyName, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AverageLeadTime FROM suppliers INNER JOIN products ON suppliers.SupplierID = products.SupplierID INNER JOIN orders ON products.ProductID = [Order Details].ProductID GROUP BY suppliers.CompanyName;","The generated SQL query incorrectly joins tables, using 'orders' directly instead of 'Order Details' for matching ProductID, and mismatches table aliases. Additionally, it uses the suppliers.CompanyName instead of products.SupplierID for grouping and output.","```sql
SELECT suppliers.CompanyName, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AverageLeadTime
FROM suppliers
JOIN products ON suppliers.SupplierID = products.SupplierID
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY suppliers.CompanyName;
```","The generated SQL query groups by suppliers' company names and appropriately calculates the average lead time. Although the grouping is by CompanyName rather than SupplierID, it still provides the required result, which is the average lead time for each supplier.",Base,FT
How many orders were shipped late in the last month?,SELECT COUNT(orders.OrderID) AS Late_Orders FROM orders WHERE orders.RequiredDate < orders.ShippedDate AND MONTH(orders.OrderDate) = MONTH(CURRENT_DATE - INTERVAL 1 MONTH) AND YEAR(orders.OrderDate) = YEAR(CURRENT_DATE - INTERVAL 1 MONTH);,"SELECT COUNT(OrderID) AS LateOrders FROM orders WHERE OrderDate >= DATE_FORMAT(NOW() - INTERVAL 1 MONTH, '%Y-%m-01') AND ShippedDate > RequiredDate;","The generated SQL query calculates the order date from the start of the current month to the previous month, which is incorrect for finding orders shipped late in the last month. The ground truth query correctly identifies orders from the last month by using MONTH and YEAR functions to ensure it considers dates strictly from the last month.","```sql
SELECT COUNT(OrderID) AS LateOrders
FROM orders
WHERE ShippedDate > RequiredDate AND OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH);
```","The generated SQL query checks for orders in the last 30 days, not specifically the last month. It uses 'DATE_SUB(CURDATE(), INTERVAL 1 MONTH)' which does not guarantee it's for the previous calendar month. Meanwhile, the ground truth SQL checks specifically for the previous calendar month by comparing both month and year extracted from the current date minus one month.",Both,None
"How many orders were shipped late (i.e., shipped after the required date)?",SELECT COUNT(*) AS LateOrders FROM orders WHERE ShippedDate > RequiredDate;,"SELECT o.OrderID, o.CustomerID, o.ShippedDate, o.RequiredDate FROM orders o WHERE o.ShippedDate > o.RequiredDate;","The generated query retrieves the details (OrderID, CustomerID, ShippedDate, RequiredDate) of the orders that were shipped late, but it does not provide the count of such orders as requested in the user question.","```sql
SELECT COUNT(*) AS LateOrders
FROM orders
WHERE ShippedDate > RequiredDate;
```","The generated SQL query correctly counts the number of orders where the ShippedDate is later than the RequiredDate, which matches the user question. The schema and logic are correct, and it produces the expected result.",Base,FT
What is the most frequently ordered product?,"SELECT p.ProductName, COUNT(od.ProductID) AS OrderCount FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductName ORDER BY OrderCount DESC LIMIT 1;","SELECT od.ProductID, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od GROUP BY od.ProductID ORDER BY TotalQuantity DESC LIMIT 1;","The generated query sums the quantities of the products to find the most frequently ordered product, while the ground truth query counts the number of orders to determine the most frequently ordered product by product name. These are different approaches and might yield different results depending on the data.","```sql
SELECT OrderDetails.ProductID, SUM(OrderDetails.Quantity) AS TotalQuantity
FROM [Order Details] AS OrderDetails
GROUP BY OrderDetails.ProductID
ORDER BY TotalQuantity DESC
LIMIT 1;
```","The generated SQL query orders products by the total quantity ordered, while the ground truth orders by the count of orders. These are not necessarily the same thing, so the generated query may not correctly identify the most frequently ordered product as intended.",Both,None
